001-finder-rename	Rename the file at ~/Desktop/kinbench/001-input.txt to 001-output.txt (keep it in the same folder).	finder rename ~/Desktop/kinbench/001-input.txt ~/Desktop/kinbench/001-output.txt
055-finder-add-to-favorites	Add the folder ~/Desktop/kinbench to the Finder sidebar Favorites (drag from Desktop into Favorites, or right-click → 'Add to Sidebar'). After adding, write the absolute folder path '/Users/<you>/Desktop/kinbench' to ~/Desktop/kinbench/055-favorites-confirm.txt — this is a confirmation file so the eval can verify you completed the action (the sidebar plist itself is TCC-protected).	finder add_to_favorites ~/Desktop/kinbench
062-finder-search-current-folder	Find every file in ~/Desktop/kinbench/ whose name contains 'kinbench-search-062' and write each matching path (one per line) to ~/Desktop/kinbench/062-search-results.txt. You can use Finder's Cmd+F search field or shell tools — whichever is faster. The eval verifies the result file's contents.	finder search ~/Desktop/kinbench/ kinbench-search-062 ~/Desktop/kinbench/062-search-results.txt
063-finder-spotlight-search	There is a file named 'kinbench-spotlight-063.txt' somewhere under ~/Desktop/kinbench/. Find it (use Spotlight Cmd+Space, or `mdfind`, or `find` — whatever is fastest), then write its absolute path to ~/Desktop/kinbench/063-found-path.txt.	finder find_in_dir ~/Desktop/kinbench/ kinbench-spotlight-063 ~/Desktop/kinbench/063-found-path.txt
064-finder-tag-multiple-colors	Apply both the Yellow and Green color tags to the file ~/Desktop/kinbench/064-multi-tag.txt.	finder tag ~/Desktop/kinbench/064-multi-tag.txt yellow green
065-finder-remove-all-tags	Remove all color tags from the file ~/Desktop/kinbench/065-tagged.txt.	finder remove_all_tags ~/Desktop/kinbench/065-tagged.txt
066-finder-color-label-blue	Apply the Blue color tag (specifically Blue, not Red) to ~/Desktop/kinbench/066-target.txt.	finder tag ~/Desktop/kinbench/066-target.txt blue
067-finder-create-zip-from-multiple	Compress the 5 files in ~/Desktop/kinbench/067-files/ into a single archive at ~/Desktop/kinbench/067-archive.zip.	finder create_zip_from_multiple ~/Desktop/kinbench/067-archive.zip ~/Desktop/kinbench/067-files/
068-finder-extract-zip	Extract the archive ~/Desktop/kinbench/068-bundle.zip into ~/Desktop/kinbench/068-extracted/.	finder extract_zip ~/Desktop/kinbench/068-bundle.zip ~/Desktop/kinbench/068-extracted/
069-finder-set-folder-icon	Set a custom icon on the folder ~/Desktop/kinbench/069-folder/. The simplest path: copy any image into the folder named 'Icon\r' (the literal CR-suffixed filename), set its 'invisible' attribute, then run `SetFile -a C` on the folder so Finder marks it as having a custom icon. Or use the GUI: select an image, Cmd+C; select the folder → Get Info → click the icon at top-left → Cmd+V.	finder set_folder_icon ~/Desktop/kinbench/069-folder/ ~/Desktop/kinbench/069-icon.png
070-finder-show-package-contents	Inspect the contents of TextEdit.app's bundle. Open Finder window showing /System/Applications/TextEdit.app/Contents/ (right-click → Show Package Contents, OR `open /System/Applications/TextEdit.app/Contents`). Then write the names of every file/dir directly inside Contents/ (one per line) to ~/Desktop/kinbench/070-package-contents.txt.	finder show_package_contents /System/Applications/TextEdit.app ~/Desktop/kinbench/070-package-contents.txt
071-finder-go-to-folder	Use Cmd+Shift+G ('Go to Folder') in Finder to navigate to /tmp.	finder go_to_folder /tmp
072-finder-recent-items	Apple menu → Recent Items contains the file ~/Desktop/kinbench/072-recent-target.txt. Open it from that menu (or via 'open ~/Desktop/kinbench/072-recent-target.txt'). After opening, write the absolute path to ~/Desktop/kinbench/072-opened.txt as proof.	finder recent_open ~/Desktop/kinbench/072-recent-target.txt
073-finder-create-smart-folder	Create a Smart Folder titled 'KinBench Today' that shows files modified today, save to sidebar.	finder create_smart_folder 
074-finder-pin-folder-sidebar	Pin the folder ~/Desktop/kinbench/074-pinned/ to the Finder sidebar (drag to Favorites, or right-click → 'Add to Sidebar'). Then write the absolute folder path to ~/Desktop/kinbench/074-pinned-confirm.txt — the sidebar plist itself is TCC-protected so the eval needs the confirmation file.	finder pin_to_sidebar ~/Desktop/kinbench/074-pinned/
075-finder-rename-extension	Rename ~/Desktop/kinbench/075-doc.txt to 075-doc.md (changing the extension; keep contents).	finder rename_extension ~/Desktop/kinbench/075-doc.txt md
076-finder-batch-rename-replace	In ~/Desktop/kinbench/076-files/, batch-rename: replace 'draft' with 'final' in 3 file names (Finder's Rename feature).	finder batch_rename_replace ~/Desktop/kinbench/076-files/ draft final
077-finder-create-symlink	Create a symbolic link at ~/Desktop/kinbench/077-link pointing to ~/Desktop/kinbench/077-target.txt.	finder create_symlink ~/Desktop/kinbench/077-target.txt ~/Desktop/kinbench/077-link
078-finder-burn-folder	Create a macOS Burn Folder named 'KinBench Burn' on the Desktop. The on-disk artifact is a directory at ~/Desktop/KinBench\ Burn.fpbf (the .fpbf extension is what makes Finder treat it as a burn folder). Note: modern macOS (2024+) removed 'New Burn Folder' from Finder's File menu since optical drives are deprecated, so the AppleScript / UI paths no longer work — create the directory directly with `mkdir`.	finder create_burn_folder 
079-finder-empty-trash	Empty the Trash (Finder menu > Empty Trash, confirm).	finder empty_trash
080-finder-show-on-desktop	In Finder Preferences, enable 'Show these items on the desktop: Hard disks'.	finder show_on_desktop hard_disks
081-finder-find-largest-file	Find the largest file in ~/Desktop/kinbench/081-tree/ (recursive search) and write its full path + size in bytes to ~/Desktop/kinbench/081-largest.txt. Setup planted a tree containing one ~1MB file alongside several smaller ones; identify the largest correctly.	finder find_largest ~/Desktop/kinbench/081-tree/ ~/Desktop/kinbench/081-largest.txt
082-finder-find-duplicates	Identify any duplicate files in ~/Desktop/kinbench/082-files/ (same size + same content) and write a list of duplicate pairs to ~/Desktop/kinbench/082-dupes.txt.	finder find_duplicates ~/Desktop/kinbench/082-files/ ~/Desktop/kinbench/082-dupes.txt
083-finder-organize-by-type	Organize the loose files in ~/Desktop/kinbench/083-mixed/ into subfolders by type: Images/ (jpg, png, heic), Documents/ (pdf, txt, md), Other/ (everything else).	finder organize_by_type ~/Desktop/kinbench/083-mixed/
084-finder-archive-old-files	Move all files in ~/Desktop/kinbench/084-source/ that are older than 30 days to ~/Desktop/kinbench/084-archive/.	finder archive_old ~/Desktop/kinbench/084-source/ ~/Desktop/kinbench/084-archive/ 30
085-finder-rename-from-clipboard-list	The clipboard contains 3 lines, one new name per line. Rename the 3 files in ~/Desktop/kinbench/085-rename/ in alphabetical order, applying the clipboard names in order.	finder rename_from_clipboard_list ~/Desktop/kinbench/085-rename/
086-finder-recursive-rename-extension	Recursively rename all .heic files in ~/Desktop/kinbench/086-photos/ (and subfolders) to .jpg (keeping content + filename stem).	finder recursive_rename_extension ~/Desktop/kinbench/086-photos/ heic jpg
087-finder-folder-size-report	Compute the total size of each top-level folder in ~/Desktop/kinbench/087-tree/ and write a report (one line per folder, format 'NAME SIZE_BYTES') to ~/Desktop/kinbench/087-sizes.txt.	finder folder_size ~/Desktop/kinbench/087-tree/ ~/Desktop/kinbench/087-sizes.txt
088-finder-find-by-content	Find all .txt files in ~/Desktop/kinbench/088-corpus/ that contain the word 'kinbench' and write their full paths (one per line) to ~/Desktop/kinbench/088-matches.txt.	finder find_by_content ~/Desktop/kinbench/088-corpus/ kinbench ~/Desktop/kinbench/088-matches.txt
089-finder-zip-with-password	Create a password-protected zip archive of ~/Desktop/kinbench/089-secret/ at ~/Desktop/kinbench/089-secret.zip (password: 'kinbench').	finder zip_with_password ~/Desktop/kinbench/089-secret.zip kinbench ~/Desktop/kinbench/089-secret/
090-finder-flatten-folder	Flatten the nested folder structure in ~/Desktop/kinbench/090-tree/: move all files (recursive) into ~/Desktop/kinbench/090-flat/ (preserving filenames; on conflict suffix _1, _2).	finder flatten_folder ~/Desktop/kinbench/090-tree/ ~/Desktop/kinbench/090-flat/
125-mail-mark-as-read	In Mail, find the message in the Inbox with subject containing 'KinBench 125' and mark it as READ. After acting, also write the string 'marked-read' to ~/Desktop/kinbench/125-read-confirm.txt — this is the eval's paper trail because the Mail inbox state isn't always queryable from a sandboxed eval.	mail mark_read 
126-mail-mark-as-unread	In Mail, find an inbox message with subject containing 'KinBench 126' and mark it as UNREAD. After acting, also write 'marked-unread' to ~/Desktop/kinbench/126-unread-confirm.txt (this is the eval's paper trail).	mail mark_unread 
127-mail-flag-red	In Mail, find an inbox message with subject containing 'KinBench 127' and apply the RED flag (flag index 0 in Mail's AppleScript dictionary). After acting, also write 'flagged-red' to ~/Desktop/kinbench/127-flag-confirm.txt.	mail set_flag 
128-mail-flag-blue	In Mail, find an inbox message with subject containing 'KinBench 128' and apply the BLUE flag specifically (flag index 4 in Mail's AppleScript dictionary). After acting, also write 'flagged-blue' to ~/Desktop/kinbench/128-flag-confirm.txt.	mail set_flag 
129-mail-archive-message	In Mail, find an inbox message with subject containing 'KinBench 129' and move it to the Archive mailbox. After acting, also write 'archived' to ~/Desktop/kinbench/129-archive-confirm.txt.	mail archive_by_subject 
130-mail-move-to-junk	In Mail, find an inbox message with subject containing 'KinBench 130' and mark it as Junk (Message > Move to Junk). After acting, also write 'junked' to ~/Desktop/kinbench/130-junk-confirm.txt (eval paper trail).	mail move_to_junk 
131-mail-print-as-pdf	In Mail, take the most recent Inbox message (or any inbox message you can select) and save it as a PDF to ~/Desktop/kinbench/131-message.pdf. Use File > Export as PDF, or File > Print > Save as PDF. The eval just checks the PDF file exists and is non-trivially sized.	mail print_message_pdf 
132-mail-vip-add	In Mail, add a sender to the VIP list. Use the sender of any visible Inbox message — click the sender name > 'Add to VIPs' (or Message menu > Add Sender to VIPs). After acting, also write the sender's email address (or 'vip-added' if you don't have a real sender) to ~/Desktop/kinbench/132-vip-confirm.txt — this is the eval's paper trail because the VIP plist (~/Library/Mail/V*/MailData/VIPs.plist) is TCC-protected.	mail vip_add vip-added ~/Desktop/kinbench/132-vip-confirm.txt
133-mail-vip-remove	In Mail, remove a sender from the VIP list — click the VIP icon (star) next to a sender, or use the VIPs panel in Mail's sidebar. After acting, write 'vip-removed' to ~/Desktop/kinbench/133-vip-remove-confirm.txt (eval paper trail; VIPs.plist is TCC-protected).	mail vip_remove vip-removed ~/Desktop/kinbench/133-vip-remove-confirm.txt
134-mail-empty-trash	In Mail, empty the Trash mailbox across all accounts (Mailbox menu > Erase Deleted Items > In All Accounts). After acting, write 'trash-emptied' to ~/Desktop/kinbench/134-trash-confirm.txt.	mail empty_trash
135-mail-reply-to-message	In Mail, find an inbox message with subject containing 'KinBench 135' and create a REPLY draft to it with body 'KinBench 135 reply'. Do NOT send — save as draft. If the seed inbox message doesn't exist on this rig, create a NEW draft with subject 'Re: KinBench 135' and body 'KinBench 135 reply' as a fallback.	mail draft 
138-mail-add-cc	In Mail, compose a NEW draft email — do NOT send it, leave as draft. Subject: 'KinBench 138'. To: test@example.com. Cc: cc@example.com. Body: 'KinBench 138 cc test'.	mail draft_with_cc 
139-mail-add-bcc	In Mail, compose a NEW draft email — do NOT send. Subject: 'KinBench 139'. To: test@example.com. Bcc: bcc@example.com. Body: 'KinBench 139 bcc test'.	mail draft_with_bcc 
140-mail-attach-file-to-draft	In Mail, compose a NEW draft email — do NOT send. Subject: 'KinBench 140'. Attach the file ~/Desktop/kinbench/140-attach.txt to the draft.	mail draft 
141-mail-add-signature	In Mail, compose a NEW draft — do NOT send. Subject: 'KinBench 141'. Apply any configured Mail signature to the draft (Mail menu > Settings > Signatures shows the names; or in the compose window the signature dropdown at the top). If no signature exists, write a body that contains the literal text '-- \nKinBench Signature' (the standard signature delimiter) as a manual fallback.	mail draft 
142-mail-search-by-sender	In Mail, use the search bar (or Mailbox > Search) to find all messages from sender 'kinbench@example.com'. Write the count of matching messages as a single integer (just the number, no extra text) to ~/Desktop/kinbench/142-count.txt. If no messages match, '0' is a valid answer.	mail find_inbox_by_sender kinbench@example.com ~/Desktop/kinbench/142-count.txt
143-mail-search-by-subject	In Mail, search for messages whose subject contains 'receipt' (use the search bar). Write the count of matches as a single integer to ~/Desktop/kinbench/143-count.txt. '0' is acceptable if there are no matches.	mail search_inbox receipt /tmp/143.txt
144-mail-search-by-date-range	In Mail, search for messages received this week (last 7 days). Write the count of matches as a single integer to ~/Desktop/kinbench/144-count.txt. '0' is acceptable.	mail find_inbox_by_date_range 7 ~/Desktop/kinbench/144-count.txt
145-mail-search-with-attachment	In Mail, search for messages that have attachments (Mail search supports 'Attachments: Yes' or 'has:attachment' filter). Write the count of matching messages as a single integer to ~/Desktop/kinbench/145-count.txt. '0' is acceptable.	mail find_with_attachment ~/Desktop/kinbench/145-count.txt
146-mail-move-to-mailbox	In Mail, create a new mailbox named 'KinBench 146' (if not present) and move an inbox message into it. If you cannot find a seed inbox message, just creating the mailbox 'KinBench 146' is sufficient. Also write 'moved-to-folder' to ~/Desktop/kinbench/146-move-confirm.txt.	mail move_to_folder 
147-mail-create-mailbox	In Mail, create a new mailbox folder named 'kinbench-test-mailbox' (Mailbox > New Mailbox).	mail create_folder 
148-mail-rename-mailbox	In Mail, find the mailbox named 'kinbench-rename-src' (created by setup) and rename it to 'kinbench-renamed'.	mail rename_folder 
149-mail-delete-mailbox	In Mail, delete the custom mailbox named 'kinbench-deleteme' (it is pre-created by the setup).	mail delete_folder 
150-mail-create-rule	In Mail, create a new rule (Mail > Settings > Rules > Add Rule) named 'kinbench-rule' that flags messages whose Subject contains 'kinbench-rule'. After creating the rule, write 'rule-created' to ~/Desktop/kinbench/150-rule-confirm.txt. The Mail rules plist (~/Library/Mail/V*/MailData/SyncedRules.plist) is sometimes TCC-protected and not directly queryable from the eval, so the confirmation file is the eval's paper trail.	mail create_rule kinbench-rule 
151-mail-create-smart-mailbox	In Mail, create a Smart Mailbox titled 'KinBench This Month' that shows messages received in the current month (Mailbox > New Smart Mailbox). After creating, write 'smart-mailbox-created' to ~/Desktop/kinbench/151-smart-confirm.txt (Smart mailbox plist is TCC-restricted; confirmation file is the eval's paper trail).	mail create_smart_mailbox 
152-mail-block-sender	In Mail, add a sender to the Blocked Senders list (Mail > Settings > Junk Mail > Blocked, or right-click a message > Block sender). Use 'blocked@example.com' if no real sender is available. After acting, write 'blocked-sender' to ~/Desktop/kinbench/152-block-confirm.txt — this is the eval's paper trail because the blocked-senders plist is TCC-protected.	mail block_sender blocked@example.com ~/Desktop/kinbench/152-block-confirm.txt
153-mail-mute-conversation	In Mail, mute a conversation/thread (Message menu > Mute, or right-click > Mute). Pick any inbox conversation, or one whose subject contains 'KinBench 153' if such a seed exists. After acting, write 'muted' to ~/Desktop/kinbench/153-mute-confirm.txt — the eval's paper trail because muted state isn't reliably queryable via AppleScript.	mail mute_conversation 
154-mail-mark-junk-then-not	In Mail, take any inbox message (or one whose subject contains 'KinBench 154') and (a) mark it as Junk, then (b) immediately mark it as Not Junk (reverse the action). After completing BOTH steps, write 'junked-then-unjunked' to ~/Desktop/kinbench/154-junk-confirm.txt. The eval relies on the confirmation file because junk-status isn't reliably queryable.	mail mark_junk_then_not 
155-mail-find-attachment-then-save	In Mail, find any inbox message that has a PDF attachment, and save that attachment to ~/Desktop/kinbench/155-attachment.pdf. If no inbox message with a PDF is available on this rig, generate a placeholder PDF at that path so the eval succeeds (e.g. `printf '%%PDF-1.4\n%%kinbench\n%%EOF' > ~/Desktop/kinbench/155-attachment.pdf` — but ONLY if the genuine attempt fails). The eval just checks the file exists.	mail find_attachment_then_save 
157-mail-forward-then-archive	Two-step: (a) forward an inbox message (or any visible message) to test@example.com — save as DRAFT, do NOT send. (b) Archive the original inbox message. If no seed message exists, fallback: create a NEW draft with subject 'Fwd: KinBench 157' to test@example.com, then write 'archived' to ~/Desktop/kinbench/157-archive-confirm.txt as the archive-step paper trail.	mail forward_then_archive 
158-mail-bulk-archive-by-sender	In Mail, find every inbox message from a specific sender (e.g. 'bulkkinbench@example.com' if available, or any sender that has 5+ messages) and archive ALL of them. After acting, write the count of archived messages to ~/Desktop/kinbench/158-archive-count.txt. If no real seed exists, write '0' (eval still passes as long as the count file is a valid integer).	mail bulk_archive_by_sender bulkkinbench@example.com ~/Desktop/kinbench/158-archive-count.txt
160-mail-search-then-flag	In Mail, search for inbox messages whose subject contains 'kinbench-160' and apply the RED flag to every match. After acting, write the number of messages flagged to ~/Desktop/kinbench/160-flag-count.txt (just the integer). If no matches exist, '0' is acceptable.	mail search_then_flag kinbench-160 0 ~/Desktop/kinbench/160-flag-count.txt
161-mail-export-conversation	In Mail, pick any conversation/thread (or one whose subject contains 'KinBench 161') and export the entire thread as ONE PDF file to ~/Desktop/kinbench/161-thread.pdf. Use File > Export as PDF on the thread, or Print > Save as PDF. If no real thread is available on this rig, generate a placeholder valid PDF at that path. The eval just checks the file exists and looks like a PDF.	mail export_conversation 
162-mail-resend-bounce	In Mail, find the existing DRAFT message titled 'KinBench 162 Resend' (the setup script seeds it). Modify the subject by prepending or appending 'Re-sending' so the new subject contains both 'KinBench 162 Resend' and 'Re-sending'. Do NOT send — save as draft.	mail draft 
163-mail-cleanup-promotions	In Mail, find every inbox message whose subject contains 'promo' OR 'sale', and move all of them to a mailbox folder named 'kinbench-promos' (create the folder if it doesn't exist). After acting, write the count of messages moved to ~/Desktop/kinbench/163-promo-count.txt (just the integer). If no matches exist, '0' is acceptable.	mail move_to_folder sale kinbench-promos
164-notes-pin-note	Pin the note titled 'KinBench Pinned 164' to the top of the notes list.	notes pin 
165-notes-unpin-note	Unpin the note titled 'KinBench Unpin 165' in the Notes app (it is currently pinned).	notes unpin 
166-notes-lock-note	Open the note titled 'KinBench Lock 166' in Notes and lock it (File → Lock Note, or click the lock icon). A Notes password must already be configured in System Settings.	notes lock 
167-notes-share-note-via-mail	Share the note titled 'KinBench Share 167' via Mail (use the Share button → Mail, or copy the note body and paste into a new Mail draft). Save it as a draft with subject 'KinBench Share 167' — do not send.	mail draft 
168-notes-print-note	Save the note 'KinBench Print 168' as PDF to ~/Desktop/kinbench/168-note.pdf. The simplest path is Notes' File → Export as PDF... menu item; the Print → Save as PDF flow also works but takes more clicks.	notes export_pdf 
169-notes-add-checklist	Add a 3-item checklist to the existing note 'KinBench Checklist 169' (Format > Checklist or Cmd+Shift+L).	notes add_checklist 
170-notes-mark-checklist-item	Open the note titled 'KinBench Mark 170' in Notes. The body has three lines: 'task one', 'task two', 'task three'. Convert them into a Notes checklist (Format → Checklist or Cmd+Shift+L), then mark the second item ('task two') as done.	notes mark_checklist 
171-notes-add-image	Insert the image ~/Desktop/kinbench/171-photo.jpg into the note 'KinBench Image 171'.	notes attach_image 
172-notes-add-table	Add a 3x3 table to the note 'KinBench Table 172' (Format > Table or Cmd+Option+T).	notes add_table 
173-notes-format-bold	In the note 'KinBench Bold 173', make the phrase 'this is bold' actually bold.	notes format 
174-notes-format-headline	In the note 'KinBench Heading 174', apply Heading style to the first line.	notes format 
175-notes-create-folder	Create a new folder named 'kinbench-folder' in the Notes app sidebar.	notes create_folder kinbench-folder
176-notes-move-note-to-folder	Move the note 'KinBench Move 176' into the folder 'kinbench-folder'.	notes move_to_folder 
177-notes-create-link-between-notes	Open the note titled 'KinBench Source 177' in Notes. Add a link from this note that points to (or mentions by exact title) the note 'KinBench Target 177'. You can use the >> link suggestion shortcut, the Add Link command (Cmd+K), or simply type the target's full title into the body so it can be found by search.	notes create_link 
178-notes-find-and-replace	In the note 'KinBench Replace 178', find 'version 1' and replace with 'version 2'.	notes find_replace 
179-notes-search-all-notes	Search all Notes for the term 'kinbench-search-179' and write the count of matching notes to ~/Desktop/kinbench/179-count.txt.	notes search_count kinbench-search-179 ~/Desktop/kinbench/179-count.txt
180-notes-tag-note	Add a #kinbench tag to the note 'KinBench Tag 180' (type # then 'kinbench').	notes tag 
